date,confirmed,region,image
2020-05-01,78,Győr-Moson-Sopron,map_2020-05-01.png
2020-05-01,110,Komárom-Esztergom,map_2020-05-01.png
2020-05-01,1408,Budapest,map_2020-05-01.png
2020-05-01,380,Pest,map_2020-05-01.png
2020-05-01,24,Nógrád,map_2020-05-01.png
2020-05-01,17,Heves,map_2020-05-01.png
2020-05-01,64,Borsod-Abaúj-Zemplén,map_2020-05-01.png
2020-05-01,47,Szabolcs-Szatmár-Bereg,map_2020-05-01.png
2020-05-01,14,Vas,map_2020-05-01.png
2020-05-01,58,Veszprém,map_2020-05-01.png
2020-05-01,296,Fejér,map_2020-05-01.png
2020-05-01,22,Jász-Nagykun-Szolnok,map_2020-05-01.png
2020-05-01,23,Hajdú-Bihar,map_2020-05-01.png
2020-05-01,108,Zala,map_2020-05-01.png
2020-05-01,27,Somogy,map_2020-05-01.png
2020-05-01,17,Tolna,map_2020-05-01.png
2020-05-01,34,Baranya,map_2020-05-01.png
2020-05-01,23,Bács-Kiskun,map_2020-05-01.png
2020-05-01,97,Csongrád,map_2020-05-01.png
2020-05-01,16,Békés,map_2020-05-01.png
2020-04-30,77,Győr-Moson-Sopron,map_2020-04-30.png
2020-04-30,101,Komárom-Esztergom,map_2020-04-30.png
2020-04-30,1368,Budapest,map_2020-04-30.png
2020-04-30,375,Pest,map_2020-04-30.png
2020-04-30,24,Nógrád,map_2020-04-30.png
2020-04-30,17,Heves,map_2020-04-30.png
2020-04-30,63,Borsod-Abaúj-Zemplén,map_2020-04-30.png
2020-04-30,47,Szabolcs-Szatmár-Bereg,map_2020-04-30.png
2020-04-30,14,Vas,map_2020-04-30.png
2020-04-30,58,Veszprém,map_2020-04-30.png
2020-04-30,271,Fejér,map_2020-04-30.png
2020-04-30,22,Jász-Nagykun-Szolnok,map_2020-04-30.png
2020-04-30,23,Hajdú-Bihar,map_2020-04-30.png
2020-04-30,103,Zala,map_2020-04-30.png
2020-04-30,26,Somogy,map_2020-04-30.png
2020-04-30,17,Tolna,map_2020-04-30.png
2020-04-30,34,Baranya,map_2020-04-30.png
2020-04-30,23,Bács-Kiskun,map_2020-04-30.png
2020-04-30,97,Csongrád,map_2020-04-30.png
2020-04-30,15,Békés,map_2020-04-30.png
2020-04-29,77,Győr-Moson-Sopron,map_2020-04-29.png
2020-04-29,93,Komárom-Esztergom,map_2020-04-29.png
2020-04-29,1347,Budapest,map_2020-04-29.png
2020-04-29,368,Pest,map_2020-04-29.png
2020-04-29,24,Nógrád,map_2020-04-29.png
2020-04-29,17,Heves,map_2020-04-29.png
2020-04-29,63,Borsod-Abaúj-Zemplén,map_2020-04-29.png
2020-04-29,47,Szabolcs-Szatmár-Bereg,map_2020-04-29.png
2020-04-29,14,Vas,map_2020-04-29.png
2020-04-29,56,Veszprém,map_2020-04-29.png
2020-04-29,269,Fejér,map_2020-04-29.png
2020-04-29,22,Jász-Nagykun-Szolnok,map_2020-04-29.png
2020-04-29,23,Hajdú-Bihar,map_2020-04-29.png
2020-04-29,98,Zala,map_2020-04-29.png
2020-04-29,25,Somogy,map_2020-04-29.png
2020-04-29,17,Tolna,map_2020-04-29.png
2020-04-29,34,Baranya,map_2020-04-29.png
2020-04-29,23,Bács-Kiskun,map_2020-04-29.png
2020-04-29,96,Csongrád,map_2020-04-29.png
2020-04-29,14,Békés,map_2020-04-29.png
2020-04-28,77,Győr-Moson-Sopron,map_2020-04-28.png
2020-04-28,92,Komárom-Esztergom,map_2020-04-28.png
2020-04-28,1305,Budapest,map_2020-04-28.png
2020-04-28,358,Pest,map_2020-04-28.png
2020-04-28,23,Nógrád,map_2020-04-28.png
2020-04-28,17,Heves,map_2020-04-28.png
2020-04-28,62,Borsod-Abaúj-Zemplén,map_2020-04-28.png
2020-04-28,47,Szabolcs-Szatmár-Bereg,map_2020-04-28.png
2020-04-28,14,Vas,map_2020-04-28.png
2020-04-28,56,Veszprém,map_2020-04-28.png
2020-04-28,265,Fejér,map_2020-04-28.png
2020-04-28,22,Jász-Nagykun-Szolnok,map_2020-04-28.png
2020-04-28,23,Hajdú-Bihar,map_2020-04-28.png
2020-04-28,89,Zala,map_2020-04-28.png
2020-04-28,24,Somogy,map_2020-04-28.png
2020-04-28,16,Tolna,map_2020-04-28.png
2020-04-28,33,Baranya,map_2020-04-28.png
2020-04-28,23,Bács-Kiskun,map_2020-04-28.png
2020-04-28,89,Csongrád,map_2020-04-28.png
2020-04-28,14,Békés,map_2020-04-28.png
2020-04-27,76,Győr-Moson-Sopron,map_2020-04-27.png
2020-04-27,87,Komárom-Esztergom,map_2020-04-27.png
2020-04-27,1286,Budapest,map_2020-04-27.png
2020-04-27,352,Pest,map_2020-04-27.png
2020-04-27,23,Nógrád,map_2020-04-27.png
2020-04-27,16,Heves,map_2020-04-27.png
