date,confirmed,region,image
2020-06-27,86,Győr-Moson-Sopron,map_2020-06-27.png
2020-06-27,307,Komárom-Esztergom,map_2020-06-27.png
2020-06-27,1973,Budapest,map_2020-06-27.png
2020-06-27,617,Pest,map_2020-06-27.png
2020-06-27,51,Nógrád,map_2020-06-27.png
2020-06-27,14,Heves,map_2020-06-27.png
2020-06-27,62,Borsod-Abaúj-Zemplén,map_2020-06-27.png
2020-06-27,51,Szabolcs-Szatmár-Bereg,map_2020-06-27.png
2020-06-27,17,Vas,map_2020-06-27.png
2020-06-27,63,Veszprém,map_2020-06-27.png
2020-06-27,376,Fejér,map_2020-06-27.png
2020-06-27,19,Jász-Nagykun-Szolnok,map_2020-06-27.png
2020-06-27,21,Hajdú-Bihar,map_2020-06-27.png
2020-06-27,261,Zala,map_2020-06-27.png
2020-06-27,22,Somogy,map_2020-06-27.png
2020-06-27,13,Tolna,map_2020-06-27.png
2020-06-27,40,Baranya,map_2020-06-27.png
2020-06-27,20,Bács-Kiskun,map_2020-06-27.png
2020-06-27,112,Csongrád,map_2020-06-27.png
2020-06-27,13,Békés,map_2020-06-27.png
2020-06-26,86,Győr-Moson-Sopron,
2020-06-26,305,Komárom-Esztergom,
2020-06-26,1959,Budapest,
2020-06-26,616,Pest,
2020-06-26,51,Nógrád,
2020-06-26,14,Heves,
2020-06-26,62,Borsod-Abaúj-Zemplén,
2020-06-26,51,Szabolcs-Szatmár-Bereg,
2020-06-26,17,Vas,
2020-06-26,63,Veszprém,
2020-06-26,376,Fejér,
2020-06-26,19,Jász-Nagykun-Szolnok,
2020-06-26,27,Hajdú-Bihar,
2020-06-26,261,Zala,
2020-06-26,22,Somogy,
2020-06-26,13,Tolna,
2020-06-26,40,Baranya,
2020-06-26,20,Bács-Kiskun,
2020-06-26,112,Csongrád,
2020-06-26,13,Békés,
2020-06-25,86,Győr-Moson-Sopron,
2020-06-25,305,Komárom-Esztergom,
2020-06-25,1957,Budapest,
2020-06-25,615,Pest,
2020-06-25,51,Nógrád,
2020-06-25,14,Heves,
2020-06-25,62,Borsod-Abaúj-Zemplén,
2020-06-25,50,Szabolcs-Szatmár-Bereg,
2020-06-25,17,Vas,
2020-06-25,63,Veszprém,
2020-06-25,376,Fejér,
2020-06-25,19,Jász-Nagykun-Szolnok,
