date,confirmed,region,image
2020-11-08,7429,Győr-Moson-Sopron,map_2020-11-08.png
2020-11-08,2702,Komárom-Esztergom,map_2020-11-08.png
2020-11-08,27692,Budapest,map_2020-11-08.png
2020-11-08,14197,Pest,map_2020-11-08.png
2020-11-08,2671,Nógrád,map_2020-11-08.png
2020-11-08,2546,Heves,map_2020-11-08.png
2020-11-08,6460,Borsod-Abaúj-Zemplén,map_2020-11-08.png
2020-11-08,5727,Szabolcs-Szatmár-Bereg,map_2020-11-08.png
2020-11-08,3181,Vas,map_2020-11-08.png
2020-11-08,3909,Veszprém,map_2020-11-08.png
2020-11-08,3729,Fejér,map_2020-11-08.png
2020-11-08,3562,Jász-Nagykun-Szolnok,map_2020-11-08.png
2020-11-08,5526,Hajdú-Bihar,map_2020-11-08.png
2020-11-08,2895,Zala,map_2020-11-08.png
2020-11-08,2052,Somogy,map_2020-11-08.png
2020-11-08,1347,Tolna,map_2020-11-08.png
2020-11-08,3093,Baranya,map_2020-11-08.png
2020-11-08,4031,Bács-Kiskun,map_2020-11-08.png
2020-11-08,4686,Csongrád,map_2020-11-08.png
2020-11-08,2181,Békés,map_2020-11-08.png
2020-11-07,6928,Győr-Moson-Sopron,map_2020-11-07.png
2020-11-07,2544,Komárom-Esztergom,map_2020-11-07.png
2020-11-07,26697,Budapest,map_2020-11-07.png
2020-11-07,13605,Pest,map_2020-11-07.png
2020-11-07,2529,Nógrád,map_2020-11-07.png
2020-11-07,2423,Heves,map_2020-11-07.png
2020-11-07,6343,Borsod-Abaúj-Zemplén,map_2020-11-07.png
2020-11-07,5662,Szabolcs-Szatmár-Bereg,map_2020-11-07.png
2020-11-07,3129,Vas,map_2020-11-07.png
2020-11-07,3681,Veszprém,map_2020-11-07.png
2020-11-07,3602,Fejér,map_2020-11-07.png
2020-11-07,3486,Jász-Nagykun-Szolnok,map_2020-11-07.png
2020-11-07,5215,Hajdú-Bihar,map_2020-11-07.png
2020-11-07,2769,Zala,map_2020-11-07.png
2020-11-07,1938,Somogy,map_2020-11-07.png
2020-11-07,1124,Tolna,map_2020-11-07.png
2020-11-07,2972,Baranya,map_2020-11-07.png
2020-11-07,3779,Bács-Kiskun,map_2020-11-07.png
2020-11-07,4533,Csongrád,map_2020-11-07.png
2020-11-07,1984,Békés,map_2020-11-07.png
2020-11-06,6322,Győr-Moson-Sopron,
2020-11-06,2417,Komárom-Esztergom,
2020-11-06,25595,Budapest,
2020-11-06,12849,Pest,
2020-11-06,2468,Nógrád,
2020-11-06,2271,Heves,
2020-11-06,6109,Borsod-Abaúj-Zemplén,
2020-11-06,5460,Szabolcs-Szatmár-Bereg,
2020-11-06,2911,Vas,
2020-11-06,3550,Veszprém,
2020-11-06,3435,Fejér,
2020-11-06,3148,Jász-Nagykun-Szolnok,
2020-11-06,5031,Hajdú-Bihar,
2020-11-06,2571,Zala,
2020-11-06,1674,Somogy,
2020-11-06,1108,Tolna,
2020-11-06,2730,Baranya,
2020-11-06,3624,Bács-Kiskun,
2020-11-06,4457,Csongrád,
2020-11-06,1895,Békés,
2020-11-05,6005,Győr-Moson-Sopron,
2020-11-05,2280,Komárom-Esztergom,
2020-11-05,24253,Budapest,
2020-11-05,12049,Pest,
2020-11-05,2389,Nógrád,
2020-11-05,2165,Heves,
2020-11-05,5906,Borsod-Abaúj-Zemplén,
2020-11-05,5264,Szabolcs-Szatmár-Bereg,
2020-11-05,2887,Vas,
2020-11-05,3267,Veszprém,
2020-11-05,3358,Fejér,
2020-11-05,3093,Jász-Nagykun-Szolnok,
2020-11-05,4778,Hajdú-Bihar,
2020-11-05,2497,Zala,
2020-11-05,1638,Somogy,
2020-11-05,1018,Tolna,
2020-11-05,2623,Baranya,
2020-11-05,3408,Bács-Kiskun,
2020-11-05,4262,Csongrád,
2020-11-05,1776,Békés,
2020-11-04,5761,Győr-Moson-Sopron,
2020-11-04,2183,Komárom-Esztergom,
2020-11-04,23297,Budapest,
2020-11-04,11418,Pest,
2020-11-04,2246,Nógrád,
2020-11-04,2046,Heves,
2020-11-04,5792,Borsod-Abaúj-Zemplén,
2020-11-04,4977,Szabolcs-Szatmár-Bereg,
2020-11-04,2798,Vas,
2020-11-04,3085,Veszprém,
2020-11-04,3240,Fejér,
2020-11-04,3018,Jász-Nagykun-Szolnok,
2020-11-04,4632,Hajdú-Bihar,
2020-11-04,2411,Zala,
2020-11-04,1554,Somogy,
2020-11-04,969,Tolna,
2020-11-04,2562,Baranya,
2020-11-04,3219,Bács-Kiskun,
2020-11-04,4076,Csongrád,
2020-11-04,1704,Békés,
2020-11-03,5557,Győr-Moson-Sopron,
2020-11-03,2142,Komárom-Esztergom,
2020-11-03,22269,Budapest,
2020-11-03,10748,Pest,
2020-11-03,2160,Nógrád,
2020-11-03,2014,Heves,
2020-11-03,5582,Borsod-Abaúj-Zemplén,
2020-11-03,4643,Szabolcs-Szatmár-Bereg,
2020-11-03,2689,Vas,
2020-11-03,2980,Veszprém,
2020-11-03,3111,Fejér,
2020-11-03,2938,Jász-Nagykun-Szolnok,
2020-11-03,4432,Hajdú-Bihar,
2020-11-03,2251,Zala,
2020-11-03,1481,Somogy,
2020-11-03,949,Tolna,
2020-11-03,2452,Baranya,
2020-11-03,2836,Bács-Kiskun,
2020-11-03,3892,Csongrád,
2020-11-03,1643,Békés,
2020-11-02,5247,Győr-Moson-Sopron,
2020-11-02,2043,Komárom-Esztergom,
2020-11-02,21462,Budapest,
2020-11-02,10168,Pest,
2020-11-02,2058,Nógrád,
2020-11-02,1984,Heves,
2020-11-02,5282,Borsod-Abaúj-Zemplén,
2020-11-02,4495,Szabolcs-Szatmár-Bereg,
2020-11-02,2504,Vas,
2020-11-02,2873,Veszprém,
2020-11-02,2955,Fejér,
2020-11-02,2633,Jász-Nagykun-Szolnok,
2020-11-02,4297,Hajdú-Bihar,
2020-11-02,2179,Zala,
2020-11-02,1466,Somogy,
2020-11-02,891,Tolna,
2020-11-02,2389,Baranya,
2020-11-02,2597,Bács-Kiskun,
2020-11-02,3799,Csongrád,
2020-11-02,1458,Békés,
2020-11-01,4738,Győr-Moson-Sopron,
2020-11-01,1930,Komárom-Esztergom,
2020-11-01,20735,Budapest,
2020-11-01,9567,Pest,
2020-11-01,1918,Nógrád,
2020-11-01,1821,Heves,
2020-11-01,6459,Borsod-Abaúj-Zemplén,
2020-11-01,4055,Szabolcs-Szatmár-Bereg,
2020-11-01,2322,Vas,
2020-11-01,2718,Veszprém,
2020-11-01,2744,Fejér,
2020-11-01,2427,Jász-Nagykun-Szolnok,
2020-11-01,4027,Hajdú-Bihar,
2020-11-01,1962,Zala,
2020-11-01,1332,Somogy,
2020-11-01,817,Tolna,
2020-11-01,2245,Baranya,
2020-11-01,2438,Bács-Kiskun,
2020-11-01,3588,Csongrád,
2020-11-01,1356,Békés,
2020-10-31,4797,Győr-Moson-Sopron,
2020-10-31,1907,Komárom-Esztergom,
2020-10-31,20231,Budapest,
2020-10-31,9276,Pest,
2020-10-31,1857,Nógrád,
2020-10-31,1753,Heves,
2020-10-31,4836,Borsod-Abaúj-Zemplén,
2020-10-31,3961,Szabolcs-Szatmár-Bereg,
2020-10-31,2419,Vas,
2020-10-31,2584,Veszprém,
2020-10-31,2641,Fejér,
2020-10-31,2038,Jász-Nagykun-Szolnok,
2020-10-31,3834,Hajdú-Bihar,
2020-10-31,1971,Zala,
2020-10-31,1264,Somogy,
2020-10-31,773,Tolna,
2020-10-31,2106,Baranya,
2020-10-31,2288,Bács-Kiskun,
2020-10-31,3413,Csongrád,
2020-10-31,1372,Békés,
2020-10-30,4362,Győr-Moson-Sopron,
2020-10-30,1842,Komárom-Esztergom,
2020-10-30,19562,Budapest,
2020-10-30,8985,Pest,
2020-10-30,1767,Nógrád,
2020-10-30,1680,Heves,
2020-10-30,4517,Borsod-Abaúj-Zemplén,
2020-10-30,3737,Szabolcs-Szatmár-Bereg,
2020-10-30,2239,Vas,
2020-10-30,2466,Veszprém,
2020-10-30,2525,Fejér,
2020-10-30,2023,Jász-Nagykun-Szolnok,
2020-10-30,3434,Hajdú-Bihar,
2020-10-30,1816,Zala,
2020-10-30,1195,Somogy,
2020-10-30,717,Tolna,
2020-10-30,2006,Baranya,
2020-10-30,2092,Bács-Kiskun,
2020-10-30,3228,Csongrád,
2020-10-30,1220,Békés,
2020-10-29,4114,Győr-Moson-Sopron,
2020-10-29,1780,Komárom-Esztergom,
2020-10-29,18874,Budapest,
2020-10-29,8601,Pest,
2020-10-29,1711,Nógrád,
2020-10-29,1645,Heves,
2020-10-29,4334,Borsod-Abaúj-Zemplén,
2020-10-29,3624,Szabolcs-Szatmár-Bereg,
2020-10-29,2177,Vas,
2020-10-29,2307,Veszprém,
2020-10-29,2383,Fejér,
2020-10-29,1989,Jász-Nagykun-Szolnok,
2020-10-29,3297,Hajdú-Bihar,
2020-10-29,1729,Zala,
2020-10-29,1109,Somogy,
2020-10-29,666,Tolna,
2020-10-29,1878,Baranya,
2020-10-29,1836,Bács-Kiskun,
2020-10-29,2952,Csongrád,
2020-10-29,1121,Békés,
2020-10-28,4049,Győr-Moson-Sopron,
2020-10-28,1754,Komárom-Esztergom,
2020-10-28,18339,Budapest,
2020-10-28,8275,Pest,
2020-10-28,1670,Nógrád,
2020-10-28,1561,Heves,
2020-10-28,4230,Borsod-Abaúj-Zemplén,
2020-10-28,3495,Szabolcs-Szatmár-Bereg,
2020-10-28,2105,Vas,
2020-10-28,2261,Veszprém,
2020-10-28,2301,Fejér,
2020-10-28,1935,Jász-Nagykun-Szolnok,
2020-10-28,3174,Hajdú-Bihar,
2020-10-28,1660,Zala,
2020-10-28,1055,Somogy,
2020-10-28,650,Tolna,
2020-10-28,1747,Baranya,
2020-10-28,1742,Bács-Kiskun,
2020-10-28,2863,Csongrád,
2020-10-28,1067,Békés,
2020-10-27,3912,Győr-Moson-Sopron,
2020-10-27,1648,Komárom-Esztergom,
2020-10-27,17781,Budapest,
2020-10-27,7971,Pest,
2020-10-27,1615,Nógrád,
2020-10-27,1508,Heves,
2020-10-27,4014,Borsod-Abaúj-Zemplén,
2020-10-27,3322,Szabolcs-Szatmár-Bereg,
2020-10-27,1946,Vas,
2020-10-27,2204,Veszprém,
2020-10-27,2249,Fejér,
2020-10-27,1909,Jász-Nagykun-Szolnok,
2020-10-27,3082,Hajdú-Bihar,
2020-10-27,1615,Zala,
2020-10-27,1038,Somogy,
