date,confirmed,region,image
2021-08-02,44506,Győr-Moson-Sopron,map_2021-08-02.png
2021-08-02,28510,Komárom-Esztergom,map_2021-08-02.png
2021-08-02,144619,Budapest,map_2021-08-02.png
2021-08-02,112283,Pest,map_2021-08-02.png
2021-08-02,20374,Nógrád,map_2021-08-02.png
2021-08-02,22514,Heves,map_2021-08-02.png
2021-08-02,46785,Borsod-Abaúj-Zemplén,map_2021-08-02.png
2021-08-02,41253,Szabolcs-Szatmár-Bereg,map_2021-08-02.png
2021-08-02,23646,Vas,map_2021-08-02.png
2021-08-02,31640,Veszprém,map_2021-08-02.png
2021-08-02,36357,Fejér,map_2021-08-02.png
2021-08-02,25790,Jász-Nagykun-Szolnok,map_2021-08-02.png
2021-08-02,42647,Hajdú-Bihar,map_2021-08-02.png
2021-08-02,18406,Zala,map_2021-08-02.png
2021-08-02,29018,Somogy,map_2021-08-02.png
2021-08-02,17800,Tolna,map_2021-08-02.png
2021-08-02,28609,Baranya,map_2021-08-02.png
2021-08-02,39296,Bács-Kiskun,map_2021-08-02.png
2021-08-02,33622,Csongrád,map_2021-08-02.png
2021-08-02,21971,Békés,map_2021-08-02.png
2021-07-30,44499,Győr-Moson-Sopron,map_2021-07-30.png
2021-07-30,28508,Komárom-Esztergom,map_2021-07-30.png
2021-07-30,144557,Budapest,map_2021-07-30.png
2021-07-30,112267,Pest,map_2021-07-30.png
2021-07-30,20369,Nógrád,map_2021-07-30.png
2021-07-30,22513,Heves,map_2021-07-30.png
2021-07-30,46775,Borsod-Abaúj-Zemplén,map_2021-07-30.png
2021-07-30,41251,Szabolcs-Szatmár-Bereg,map_2021-07-30.png
2021-07-30,23645,Vas,map_2021-07-30.png
2021-07-30,31634,Veszprém,map_2021-07-30.png
2021-07-30,36351,Fejér,map_2021-07-30.png
2021-07-30,25790,Jász-Nagykun-Szolnok,map_2021-07-30.png
2021-07-30,42641,Hajdú-Bihar,map_2021-07-30.png
2021-07-30,18405,Zala,map_2021-07-30.png
2021-07-30,29011,Somogy,map_2021-07-30.png
2021-07-30,17795,Tolna,map_2021-07-30.png
2021-07-30,28606,Baranya,map_2021-07-30.png
2021-07-30,39286,Bács-Kiskun,map_2021-07-30.png
2021-07-30,33619,Csongrád,map_2021-07-30.png
2021-07-30,21969,Békés,map_2021-07-30.png
2021-07-29,44496,Győr-Moson-Sopron,map_2021-07-29.png
2021-07-29,28504,Komárom-Esztergom,map_2021-07-29.png
2021-07-29,144539,Budapest,map_2021-07-29.png
2021-07-29,112259,Pest,map_2021-07-29.png
2021-07-29,20367,Nógrád,map_2021-07-29.png
2021-07-29,22511,Heves,map_2021-07-29.png
2021-07-29,46768,Borsod-Abaúj-Zemplén,map_2021-07-29.png
2021-07-29,41251,Szabolcs-Szatmár-Bereg,map_2021-07-29.png
2021-07-29,23644,Vas,map_2021-07-29.png
2021-07-29,31633,Veszprém,map_2021-07-29.png
2021-07-29,36345,Fejér,map_2021-07-29.png
2021-07-29,25790,Jász-Nagykun-Szolnok,map_2021-07-29.png
2021-07-29,42641,Hajdú-Bihar,map_2021-07-29.png
2021-07-29,18405,Zala,map_2021-07-29.png
2021-07-29,29006,Somogy,map_2021-07-29.png
2021-07-29,17794,Tolna,map_2021-07-29.png
2021-07-29,28603,Baranya,map_2021-07-29.png
2021-07-29,39285,Bács-Kiskun,map_2021-07-29.png
2021-07-29,33618,Csongrád,map_2021-07-29.png
2021-07-29,21968,Békés,map_2021-07-29.png
2021-07-28,44494,Győr-Moson-Sopron,map_2021-07-28.png
2021-07-28,28500,Komárom-Esztergom,map_2021-07-28.png
2021-07-28,144524,Budapest,map_2021-07-28.png
2021-07-28,112249,Pest,map_2021-07-28.png
2021-07-28,20367,Nógrád,map_2021-07-28.png
2021-07-28,22509,Heves,map_2021-07-28.png
2021-07-28,46765,Borsod-Abaúj-Zemplén,map_2021-07-28.png
2021-07-28,41250,Szabolcs-Szatmár-Bereg,map_2021-07-28.png
2021-07-28,23641,Vas,map_2021-07-28.png
2021-07-28,31628,Veszprém,map_2021-07-28.png
2021-07-28,36342,Fejér,map_2021-07-28.png
2021-07-28,25790,Jász-Nagykun-Szolnok,map_2021-07-28.png
2021-07-28,42637,Hajdú-Bihar,map_2021-07-28.png
2021-07-28,18405,Zala,map_2021-07-28.png
2021-07-28,29000,Somogy,map_2021-07-28.png
2021-07-28,17792,Tolna,map_2021-07-28.png
2021-07-28,28602,Baranya,map_2021-07-28.png
2021-07-28,39284,Bács-Kiskun,map_2021-07-28.png
2021-07-28,33615,Csongrád,map_2021-07-28.png
2021-07-28,21968,Békés,map_2021-07-28.png
2021-07-27,44493,Győr-Moson-Sopron,map_2021-07-27.png
2021-07-27,28500,Komárom-Esztergom,map_2021-07-27.png
2021-07-27,144499,Budapest,map_2021-07-27.png
2021-07-27,112241,Pest,map_2021-07-27.png
2021-07-27,20367,Nógrád,map_2021-07-27.png
2021-07-27,22508,Heves,map_2021-07-27.png
2021-07-27,46757,Borsod-Abaúj-Zemplén,map_2021-07-27.png
2021-07-27,41246,Szabolcs-Szatmár-Bereg,map_2021-07-27.png
2021-07-27,23640,Vas,map_2021-07-27.png
2021-07-27,31625,Veszprém,map_2021-07-27.png
2021-07-27,36339,Fejér,map_2021-07-27.png
2021-07-27,25789,Jász-Nagykun-Szolnok,map_2021-07-27.png
2021-07-27,42635,Hajdú-Bihar,map_2021-07-27.png
2021-07-27,18405,Zala,map_2021-07-27.png
2021-07-27,28992,Somogy,map_2021-07-27.png
2021-07-27,17792,Tolna,map_2021-07-27.png
2021-07-27,28598,Baranya,map_2021-07-27.png
2021-07-27,39282,Bács-Kiskun,map_2021-07-27.png
2021-07-27,33613,Csongrád,map_2021-07-27.png
2021-07-27,21967,Békés,map_2021-07-27.png
2021-07-26,44493,Győr-Moson-Sopron,map_2021-07-26.png
2021-07-26,28500,Komárom-Esztergom,map_2021-07-26.png
2021-07-26,144491,Budapest,map_2021-07-26.png
2021-07-26,112237,Pest,map_2021-07-26.png
2021-07-26,20367,Nógrád,map_2021-07-26.png
2021-07-26,22507,Heves,map_2021-07-26.png
