date,confirmed,region,image
2020-04-16,62,Győr-Moson-Sopron,map_2020-04-16.png
2020-04-16,21,Komárom-Esztergom,map_2020-04-16.png
2020-04-16,805,Budapest,map_2020-04-16.png
2020-04-16,249,Pest,map_2020-04-16.png
2020-04-16,19,Nógrád,map_2020-04-16.png
2020-04-16,13,Heves,map_2020-04-16.png
2020-04-16,50,Borsod-Abaúj-Zemplén,map_2020-04-16.png
2020-04-16,42,Szabolcs-Szatmár-Bereg,map_2020-04-16.png
2020-04-16,14,Vas,map_2020-04-16.png
2020-04-16,34,Veszprém,map_2020-04-16.png
2020-04-16,122,Fejér,map_2020-04-16.png
2020-04-16,16,Jász-Nagykun-Szolnok,map_2020-04-16.png
2020-04-16,19,Hajdú-Bihar,map_2020-04-16.png
2020-04-16,33,Zala,map_2020-04-16.png
2020-04-16,21,Somogy,map_2020-04-16.png
2020-04-16,14,Tolna,map_2020-04-16.png
2020-04-16,32,Baranya,map_2020-04-16.png
2020-04-16,22,Bács-Kiskun,map_2020-04-16.png
2020-04-16,52,Csongrád,map_2020-04-16.png
2020-04-16,12,Békés,map_2020-04-16.png
2020-04-15,61,Győr-Moson-Sopron,map_2020-04-15.png
2020-04-15,20,Komárom-Esztergom,map_2020-04-15.png
2020-04-15,770,Budapest,map_2020-04-15.png
2020-04-15,234,Pest,map_2020-04-15.png
2020-04-15,19,Nógrád,map_2020-04-15.png
2020-04-15,12,Heves,map_2020-04-15.png
2020-04-15,48,Borsod-Abaúj-Zemplén,map_2020-04-15.png
2020-04-15,41,Szabolcs-Szatmár-Bereg,map_2020-04-15.png
2020-04-15,14,Vas,map_2020-04-15.png
2020-04-15,32,Veszprém,map_2020-04-15.png
2020-04-15,114,Fejér,map_2020-04-15.png
2020-04-15,15,Jász-Nagykun-Szolnok,map_2020-04-15.png
2020-04-15,19,Hajdú-Bihar,map_2020-04-15.png
2020-04-15,31,Zala,map_2020-04-15.png
2020-04-15,21,Somogy,map_2020-04-15.png
2020-04-15,13,Tolna,map_2020-04-15.png
2020-04-15,29,Baranya,map_2020-04-15.png
2020-04-15,22,Bács-Kiskun,map_2020-04-15.png
2020-04-15,52,Csongrád,map_2020-04-15.png
2020-04-15,12,Békés,map_2020-04-15.png
2020-04-14,61,Győr-Moson-Sopron,map_2020-04-14.png
2020-04-14,20,Komárom-Esztergom,map_2020-04-14.png
2020-04-14,732,Budapest,map_2020-04-14.png
2020-04-14,220,Pest,map_2020-04-14.png
2020-04-14,19,Nógrád,map_2020-04-14.png
2020-04-14,11,Heves,map_2020-04-14.png
2020-04-14,45,Borsod-Abaúj-Zemplén,map_2020-04-14.png
2020-04-14,40,Szabolcs-Szatmár-Bereg,map_2020-04-14.png
2020-04-14,14,Vas,map_2020-04-14.png
2020-04-14,32,Veszprém,map_2020-04-14.png
2020-04-14,106,Fejér,map_2020-04-14.png
2020-04-14,15,Jász-Nagykun-Szolnok,map_2020-04-14.png
2020-04-14,19,Hajdú-Bihar,map_2020-04-14.png
2020-04-14,30,Zala,map_2020-04-14.png
2020-04-14,21,Somogy,map_2020-04-14.png
2020-04-14,13,Tolna,map_2020-04-14.png
2020-04-14,29,Baranya,map_2020-04-14.png
2020-04-14,22,Bács-Kiskun,map_2020-04-14.png
2020-04-14,51,Csongrád,map_2020-04-14.png
2020-04-14,12,Békés,map_2020-04-14.png
2020-04-13,61,Győr-Moson-Sopron,map_2020-04-13.png
2020-04-13,20,Komárom-Esztergom,map_2020-04-13.png
2020-04-13,703,Budapest,map_2020-04-13.png
2020-04-13,214,Pest,map_2020-04-13.png
2020-04-13,19,Nógrád,map_2020-04-13.png
2020-04-13,9,Heves,map_2020-04-13.png
2020-04-13,45,Borsod-Abaúj-Zemplén,map_2020-04-13.png
2020-04-13,38,Szabolcs-Szatmár-Bereg,map_2020-04-13.png
2020-04-13,14,Vas,map_2020-04-13.png
2020-04-13,31,Veszprém,map_2020-04-13.png
2020-04-13,102,Fejér,map_2020-04-13.png
2020-04-13,14,Jász-Nagykun-Szolnok,map_2020-04-13.png
2020-04-13,18,Hajdú-Bihar,map_2020-04-13.png
2020-04-13,28,Zala,map_2020-04-13.png
2020-04-13,20,Somogy,map_2020-04-13.png
2020-04-13,13,Tolna,map_2020-04-13.png
2020-04-13,29,Baranya,map_2020-04-13.png
2020-04-13,22,Bács-Kiskun,map_2020-04-13.png
2020-04-13,47,Csongrád,map_2020-04-13.png
2020-04-13,11,Békés,map_2020-04-13.png
2020-04-12,60,Győr-Moson-Sopron,map_2020-04-12.png
2020-04-12,20,Komárom-Esztergom,map_2020-04-12.png
2020-04-12,669,Budapest,map_2020-04-12.png
2020-04-12,215,Pest,map_2020-04-12.png
2020-04-12,18,Nógrád,map_2020-04-12.png
2020-04-12,9,Heves,map_2020-04-12.png
2020-04-12,44,Borsod-Abaúj-Zemplén,map_2020-04-12.png
2020-04-12,38,Szabolcs-Szatmár-Bereg,map_2020-04-12.png
2020-04-12,14,Vas,map_2020-04-12.png
2020-04-12,30,Veszprém,map_2020-04-12.png
2020-04-12,93,Fejér,map_2020-04-12.png
2020-04-12,14,Jász-Nagykun-Szolnok,map_2020-04-12.png
2020-04-12,18,Hajdú-Bihar,map_2020-04-12.png
2020-04-12,28,Zala,map_2020-04-12.png
2020-04-12,20,Somogy,map_2020-04-12.png
2020-04-12,13,Tolna,map_2020-04-12.png
2020-04-12,29,Baranya,map_2020-04-12.png
2020-04-12,22,Bács-Kiskun,map_2020-04-12.png
2020-04-12,45,Csongrád,map_2020-04-12.png
2020-04-12,11,Békés,map_2020-04-12.png
2020-04-11,44,Győr-Moson-Sopron,map_2020-04-11.png
2020-04-11,20,Komárom-Esztergom,map_2020-04-11.png
2020-04-11,655,Budapest,map_2020-04-11.png
2020-04-11,199,Pest,map_2020-04-11.png
2020-04-11,17,Nógrád,map_2020-04-11.png
2020-04-11,8,Heves,map_2020-04-11.png
2020-04-11,13,Borsod-Abaúj-Zemplén,map_2020-04-11.png
2020-04-11,37,Szabolcs-Szatmár-Bereg,map_2020-04-11.png
